fpid,type,text,footnotes
Agroforestry systems,FP ID,Agroforestry systems,NA
Agroforestry systems,Definition of the farming practice1,"Agroforestry is a land-use system and management practice in which woody perennials such as trees and shrubs are deliberately integrated with agricultural crops and/or livestock on the same land management unit. This integration may occur through spatial arrangements (e.g., trees within or along field boundaries, hedgerows, or shelterbelts) or temporal sequences (e.g., rotational or successional planting).","Mosquera-Losada M.R., McAdam J.H., Romero-Franco R., Santiago-Freijanes J.J., Rigueiro-Rodríguez A. (2009) Definitions and Components of Agroforestry Practices in Europe. In: Rigueiro-Rodríguez A., McAdam J., Mosquera-Losada M.R. (eds) Agroforestry in Europe. Advances in Agroforestry, vol 6. Springer, Dordrecht. https://doi.org/10.1007/978-1-4020-8272-6_1, LUNDGREN, LILL. ""BJORN LUNDGREN International Council for Research in Agroforestry (ICRAF), Nairobi, Kenya and LILL LUNDGREN."" Socio-economic Effects and Constraints in Tropical Forest Management: The Results of an Enquiry (1982): 43.

den Herder, M., Burgess, P.J., Mosquera-Losada, M.R., Herzog, F., Hartel, T., Upson, M., Viholainen, I., Rosati, A., 2015a. Preliminary stratification and quantification of agroforestry in Europe. Milestone Report 1.1 for EU FP7 AGFORWARD Research Project (613520). http://agforward.eu/index.php/en/preliminary-stratification-and-quantification-of-agroforestry-in-europe.html"
Agroforestry systems,Definition of the farming practice2,"Agroforestry can function as a specific farm practice, a set of complementary practices, or a broader farming system, depending on its scale and design that enhances ecological and economic synergies between the tree and non-tree components, contributing to productive, sustainable and climate resilient agriculture","The Food and Agriculture Organization of the United Nations (FAO) https://www.fao.org/agroforestry/about-agroforestry/overview/en 

The World Agroforestry Centre ?https://www.cifor-icraf.org/knowledge/publication/33671/.  "
Agroforestry systems,Definition of the farming practice3,"We considered the following Agroforestry classification: Silvopastoral (Wood pasture; Orchard grazing), Silvoarable (Alley cropping; Alley coppice), Tree Landscape features (Hedges/wooded strips; Buffer strips; Trees in line such as Windbreaks and shelterbelts; Isolated trees), Agrosilvopastoral (Settlement agroforestry including home gardens) and other systems (Shaded perennials; Improved fallow; Woodlot).",EU Natural Restoration Law https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=OJ:C_202500980#ntr9-C_202500980EN.000101-E0009 
Agroforestry systems,Definition of the farming practice4,"Agroforestry is a form of multiple cropping which satisfies at least three basic conditions: i) There are at least two species that interact biologically; ii) At least one of the species is a woody perennial; iii) At least one of the plant species is managed for forage, annual, or perennial crop production. ",NA
Agroforestry systems,Definition of the farming practice5,"Agroforestry can be considered at multiple spatial scales: field-scale, farm-scale and landscape scale. ",NA
Agroforestry systems,What does the definition of the FP include?1,"The review includes meta-analyses reporting on the effects of agroforestry practices or systems on sustainability outcomes covering environmental, climate, and productivity aspects.",NA
Agroforestry systems,What does the definition of the FP include?2,"The primary studies synthesized by meta-analyses include observations of agroforestry practices or systems in pedo-climates characterizing the northern hemisphere, such as temperate, continental, boreal and mediterranean. ",NA
Agroforestry systems,What does the definition of the FP exclude?1,Forest land is out of the scope of this review and is thus not relevant for our classification of agroforestry practices.,NA
Conservation agriculture systems,FP ID,Conservation agriculture systems,NA
Conservation agriculture systems,Definition of the farming practice1,"Conservation agriculture is a special case of no-tillage systems where minimum soil disturbance is combined with crop rotation (i.e., alternation of different crops) and permanent soil cover (including crop residues, mulch, and live mulch).",https://www.fao.org/conservation-agriculture/overview/conservation-agriculture-principles/en/
Conservation agriculture systems,What does the definition of the FP include?1,The review also includes comparisons between conventional tillage and no-tillage or reduced tillage combined with both permanent soil cover and crop rotation.,NA
Conservation agriculture systems,What does the definition of the FP exclude?1,"Studies including various no-tillage and reduced tillage systems (sometimes defined as conservation tillage[6]) are excluded from this review, as the effects reported in the papers cannot be distinguished.",https://ec.europa.eu/eurostat/statistics-explained/index.php?title=Glossary:Conservational_tillage
Cover and catch crops,FP ID,Cover and catch crops,NA
Cover and catch crops,Definition of the farming practice1,"Cover crops are grown to provide vegetative cover between rows of main crops in orchards and vineyards, or in the period between two main arable crops to prevent erosion and  minimize the risk of surface runoff by improving the infiltration. They may also function as catch crops, which scavenge the remaining nitrogen after the main crop is harvested, thereby reducing nutrient losses from leaching. They are temporary crops that may be cut and removed or incorporated into the soil. The practice of incorporating crops into the soil to provide nutrient is defined as ""green manuring""","Inglett, P.W., Reddy, K.R., Corstanje, R., 2005. Encyclopedia of Soils in the Environment | ScienceDirect."
Cover and catch crops,Definition of the farming practice2,Spontaneous vegetation left growing with the same purpose of cover crops is also included under this practice,NA
Cover and catch crops,What does the definition of the FP include?1,"Crops sown on purpose during the fallow season, or undersown to winter/spring main crops, or sown between rows of tree or vineyard crops as mean of soil living cover.",NA
Cover and catch crops,What does the definition of the FP include?2,Spontaneous vegetation left growing with the objective of covering the soil.,NA
Cover and catch crops,What does the definition of the FP include?3,"Mono- or multi-species cover/catch crops including legumes (N-fixing species), non-legumes (grass or broadleafs) or mixtures.",NA
Cover and catch crops,What does the definition of the FP include?4,"Permanent/annual intercropping in orchards, i.e. refers to the maintenance of a permanent cover crop in the alleys, such as aromatics, while annual intercropping means the presence of cover crops in the alleys that are annually harvested or incorporated into the soil.",NA
Cover and catch crops,What does the definition of the FP include?5,"Cover/catch crops are terminated before the main cash crop is harvested, by different strategies: Mechanical, tillage with direct incorporation to soil or herbicide termination.",NA
Cover and catch crops,What does the definition of the FP include?6,"Cover/catch crops biomass, after termination, can be either: - left on soil as mulch or green manure. - incorporated as green manure. - harvested and exported from the field. ",NA
Cover and catch crops,What does the definition of the FP include?7,Catch/cover crops or spontaneous living soil cover are compared to bare soil during fallow season (e.g. winter) or to uncovered soil/active removal of spontaneous vegetation by tillage.,NA
Crop residue management,FP ID,Crop residue management,NA
Crop residue management,Definition of the farming practice1,"Crop residue management is the handling of stems, leaves, chaff and husks that remain in the fields after crops are harvested for grain, seed or fiber. Main strategies for crop residue management involve residue retention at the surface, residue incorporation into the soil and rice residue burning.","Reicosky and Wilts, 2005. (https://doi.org/10.1016/B0-12-348530-4/00254-X)"
Crop residue management,What does the definition of the FP include?1,"This review includes the following crop residue management techniques: 1) crop residue retention (crop residue are left in the field after harvest), including crop residue retention and pruning residues retention, 2) crop residue incorporation into the soil (shallow and deep incorporation, 3) specific techniques for straw residue management, including additional straw application (beyond residue left by the crop), rice straw burned in paddy rice, and straw returning amended with straw decomposing microorganism inoculants.",NA
Crop residue management,What does the definition of the FP exclude?1,"This review does not include: 1) residue management techniques that are applied in other land uses that are not cropland, 2) Straw mulching. The impacts of straw mulching are evaluated in separate sets of fiches (Mulching).",NA
Crop rotation,FP ID,Crop rotation,NA
Crop rotation,Definition of the farming practice1,"Crop rotation on arable land is the practice of alternating crops grown on a specific field in a planned pattern or sequence in successive crop years, so that crops of the same species are not grown without interruption on the same field. In a rotation, the crops are normally changed annually, but they can also be multi-annual. If the same crop is grown continuously, the term monoculture can be used to describe the phenomenon",NA
Crop rotation,What does the definition of the FP include?1,"This review includes three types of crop rotation comparisons 2: (i) rotations of two crops compared to monocropping [3] (in 10 synthesis papers), (ii) rotations of 3 or more crops compared to monocropping (in 2 synthesis papers), and (iii) rotations of 3 or more crops compared to crop rotation of two crops (in 2 synthesis papers). Seven synthesis papers did not clearly specify the type of rotation (more diverse rotations vs. monocropping or 2-crop rotation).",NA
Crop rotation,What does the definition of the FP exclude?1,"This review does not include synthesis research papers that study the primary effects of: (i) cover crops - plants that are cultivated to cover (and protect) the soil instead of being harvested (i.e., studies where cover crops were only present in the intervention group and not in the control, were excluded), (ii) break crops - alternative crops to interrupt the repeated sowing of a cash crop, and (iii) fallowing - leave the arable land without planting for at least one year. The direct impacts of these three practices are evaluated in separate sets of fiches. ",NA
Enhanced efficiency fertilisers,FP ID,Enhanced efficiency fertilisers,NA
Enhanced efficiency fertilisers,Definition of the farming practice1,"Enhanced-Efficiency Fertilisers (EEF) correspond to different types of fertilisers or products associated to fertilisers, which have been developed to better synchronize fertiliser N release with crop uptake, offering the potential for enhanced N-use efficiency (NUE) in crops and reduced losses (Li et al., 2017).","Li, T, Zhang, W, Yin, J, et al. Enhanced-efficiency fertilizers are not a panacea for resolving the nitrogen problem. Glob Change Biol. 2018, 24: e511- e521. https://doi.org/10.1111/gcb.13918"
Enhanced efficiency fertilisers,Definition of the farming practice2,There are four main types of EEF:,NA
Enhanced efficiency fertilisers,Definition of the farming practice3,"Some EEF are designed to release nutrients by diffusion through semipermeable polymer-membrane coatings, in a controlled manner. Thus, nutrient release is better matched with crop demands and the availability of the fertiliser-derived N to nitrifiers and denitrifiers is limited. These products are called controlled-release fertilisers (CRF) and include coated or encapsulated fertilisers with inorganic or organic materials (Thapa et al., 2016).","Thapa, R., Chatterjee, A., Awale, R., McGranahan, D.A. and Daigh, A. (2016), Effect of Enhanced Efficiency Fertilizers on Nitrous Oxide Emissions and Crop Yields: A Meta-analysis. Soil Science Society of America Journal, 80: 1121-1134. https://doi.org/10.2136/sssaj2016.06.0179"
Enhanced efficiency fertilisers,Definition of the farming practice4,"Some other types of EEF can be coupled to nitrogen fertilisers (both organic and mineral, excluding nitrate-containing mineral fertilisers) to delay the hydrolysis of urea into NH4+ by blocking the urease enzyme binding sites. These products are defined as urease inhibitors (UI) (Trenkel et al., 2010).","Trenkel, M.E. 2010. Slow- and controlled-release and stabilized fertilizers: An option for enhancing nutrient use efficiency in agriculture. 2nd ed. Int.Fert. Assoc., Paris."
Enhanced efficiency fertilisers,Definition of the farming practice5,"Nitrification inhibitors are substances that, coupled to fertilizers, delay the bacterial oxidation of NH4+ (ammonium) to NO2- (nitrite) for a certain period by suppressing the activity of Nitrosomonas spp. (nitritation, step one of nitrification), and therefore the formation of NO3- (nitrate). In this way, mineral nitrogen (N) is retained as ammonium, which is less prone to leaching than nitrate, and which cannot be lost to the atmosphere by denitrification. Therefore, nitrification inhibitors are combined with fertilizers in order to increase fertilizer use efficiency (Chaves et al., 2006).","Chaves, B., Opoku, A., De Neve, S., Boeckx, P., Van Cleemput, O., & Hofman, G. (2006). Influence of DCD and DMPP on soil N dynamics after incorporation of vegetable crop residues. Biology and Fertility of Soils, 43(1), 62-68."
Enhanced efficiency fertilisers,Definition of the farming practice6,"The combined application of UI with nitrification inhibitors (NI) is referred to as double inhibitors (DI). DI are designed to increase crop NH4+ availability not only by delaying urea hydrolysis but also by prolonging NH4+ retention in soil, through inhibition of microbial nitrification (Thapa et al., 2016).","Thapa, R., Chatterjee, A., Awale, R., McGranahan, D.A. and Daigh, A. (2016), Effect of Enhanced Efficiency Fertilizers on Nitrous Oxide Emissions and Crop Yields: A Meta-analysis. Soil Science Society of America Journal, 80: 1121-1134. https://doi.org/10.2136/sssaj2016.06.0179"
Enhanced efficiency fertilisers,What does the definition of the FP include?1,All the four types of enhanced efficiency fertilisers were included in this fiche.,NA
Fallowing,FP ID,Fallowing,NA
Fallowing,Definition of the farming practice1,"Fallowing refers to the farming practice in which arable land included in the crop rotation system is left to recover, at least for the whole of a crop year, whether worked (e.g. ploughed) or not and with no intention to produce a harvest, including set-aside lands. ",Statistics explained (https://ec.europa.eu/eurostat/statistics-explained/index.php/Glossary:Fallow_land)
Fallowing,What does the definition of the FP include?1,Natural fallow comprises: ,NA
Fallowing,What does the definition of the FP include?2,"bare land bearing no crops at all, ",NA
Fallowing,What does the definition of the FP include?3,"land with spontaneous natural growth that may be used as feed or ploughed, ",NA
Fallowing,What does the definition of the FP include?4,recently abandoned and set-aside lands (<5 years). ,NA
