fpid,used_for,criteria
Agroforestry systems,exclusion,The topic of the meta-analysis is out of the scope of this review.
Agroforestry systems,exclusion,The paper is neither a systematic review nor a meta-analysis of primary research.
Agroforestry systems,exclusion,The analysis is not based on pairwise comparisons
Agroforestry systems,exclusion,The paper is not written in English.
Agroforestry systems,exclusion,The full text is not available
Agroforestry systems,exclusion,The systematic review is not presenting quantitative data (either with or without full statistical analysis)
Agroforestry systems,exclusion,"The study does not deal with agroforestry systems, according to its definition."
Agroforestry systems,exclusion,Not including temperate data
Agroforestry systems,exclusion,The comparator is only natural forests
Agroforestry systems,inclusion,"The paper is a meta-analysis reporting on the effects of agroforestry practices or systems on sustainability oucomes covering environment, climate and productivity aspects."
Agroforestry systems,inclusion,"The original experiments synthesized by the meta-analysis include observations of agroforestry practices or systems in pedo-climates characterizing the northern emisphere, such as temperate, continental, boreal, mediterranean."
Conservation agriculture systems,exclusion,The topic of the meta-analysis is out of the scope of this review.
Conservation agriculture systems,exclusion,The paper is neither a systematic review nor a meta-analysis of primary research.
Conservation agriculture systems,exclusion,The paper is a second order meta-analysis
Conservation agriculture systems,exclusion,The analysis is not based on pairwise comparisons
Conservation agriculture systems,exclusion,"The paper does not study the effect of conservation agriculture as a system (constituted of at least 3 conservation practices in parallel), compared to conventional tillage"
Conservation agriculture systems,exclusion,The paper does not clearly state the intervention and comparator treatments
Conservation agriculture systems,exclusion,"The paper regards only one or two conservation practices applied in parallel, compared to conventional agriculture practices."
Conservation agriculture systems,exclusion,The paper is not written in English.
Conservation agriculture systems,exclusion,The full text is not available
Cover and catch crops,exclusion,The paper is not written in English.
Cover and catch crops,exclusion,The paper is neither a systematic review nor a meta-analysis of primary research.
Cover and catch crops,exclusion,Land use is not cropland.
Cover and catch crops,exclusion,The analysis is not based on pairwise comparisons
Cover and catch crops,exclusion,The topic of the meta-analysis is out of the scope of this review.
Cover and catch crops,exclusion,The topic is not on a/more specific landscape features.
Cover and catch crops,exclusion,The full text is not available
Cover and catch crops,inclusion,"Crops sown on purpose during the fallow season, or undersown to winter/spring main crops, or sown between rows of tree or vineyard crops as mean of soil living cover."
Cover and catch crops,inclusion,Spontaneous vegetation left growing with the objective of covering the soil.
Cover and catch crops,inclusion,"Mono- or multi-species cover/catch crops including legumes (N-fixing species), non-legumes (grass or broadleafs) or mixtures."
Cover and catch crops,inclusion,"Permanent/annual intercropping in orchards, i.e. refers to the maintenance of a permanent cover crop in the alleys, such as aromatics, while annual intercropping means the presence of cover crops in the alleys that are annually harvested or incorporated into the soil."
Cover and catch crops,inclusion,"Cover/catch crops are terminated before the main cash crop is harvested, by different strategies: Mechanical, tillage with direct incorporation to soil or herbicide termination."
Cover and catch crops,inclusion,"Cover/catch crops biomass, after termination, can be either:"
Cover and catch crops,inclusion,Catch/cover crops or spontaneous living soil cover are compared to bare soil during fallow season (e.g. winter) or to uncovered soil/active removal of spontaneous vegetation by tillage.
Crop residue management,exclusion,The topic of the meta-analysis is out of the scope of this review
Crop residue management,exclusion,The paper is neither a systematic review nor a meta-analysis of primary research.
Crop residue management,exclusion,Is a MA of experimental trials
Crop residue management,exclusion,The full text is not available
Crop residue management,exclusion,The paper is not written in English.
Crop residue management,exclusion,Not proper comparison
Crop residue management,exclusion,No impacts on environment
Crop residue management,exclusion,Dataset already used in other MA for same impact
Crop residue management,exclusion,"Published before 2015 (for carbon sequestration, GHG emissions and water use)"
Crop residue management,exclusion,"Not including data from EU (for carbon sequestration, GHG emissions and water use)"
Crop residue management,exclusion,Not on cropland
Crop residue management,exclusion,Living mulch (or biological mulching)
Crop rotation,exclusion,The topic of the meta-analysis is out of the scope of this review
Crop rotation,exclusion,The paper is neither a systematic review nor a meta-analysis of primary research
Crop rotation,exclusion,The analysis is not based on pairwise comparisons
Crop rotation,exclusion,The paper is not written in English
Crop rotation,exclusion,The full text is not available
Crop rotation,exclusion,The study does not deal with crop rotation
